,end,start,tweet_count
0,2022-11-10T01:00:00.000Z,2022-11-10T00:00:00.000Z,15
1,2022-11-10T02:00:00.000Z,2022-11-10T01:00:00.000Z,15
2,2022-11-10T03:00:00.000Z,2022-11-10T02:00:00.000Z,32
3,2022-11-10T04:00:00.000Z,2022-11-10T03:00:00.000Z,98
4,2022-11-10T05:00:00.000Z,2022-11-10T04:00:00.000Z,16
5,2022-11-10T06:00:00.000Z,2022-11-10T05:00:00.000Z,4
6,2022-11-10T07:00:00.000Z,2022-11-10T06:00:00.000Z,25
7,2022-11-10T08:00:00.000Z,2022-11-10T07:00:00.000Z,11
8,2022-11-10T09:00:00.000Z,2022-11-10T08:00:00.000Z,25
9,2022-11-10T10:00:00.000Z,2022-11-10T09:00:00.000Z,9
10,2022-11-10T11:00:00.000Z,2022-11-10T10:00:00.000Z,32
11,2022-11-10T12:00:00.000Z,2022-11-10T11:00:00.000Z,24
12,2022-11-10T13:00:00.000Z,2022-11-10T12:00:00.000Z,56
13,2022-11-10T14:00:00.000Z,2022-11-10T13:00:00.000Z,30
14,2022-11-10T15:00:00.000Z,2022-11-10T14:00:00.000Z,37
15,2022-11-10T16:00:00.000Z,2022-11-10T15:00:00.000Z,52
16,2022-11-10T17:00:00.000Z,2022-11-10T16:00:00.000Z,16
17,2022-11-10T18:00:00.000Z,2022-11-10T17:00:00.000Z,51
18,2022-11-10T19:00:00.000Z,2022-11-10T18:00:00.000Z,8
19,2022-11-10T20:00:00.000Z,2022-11-10T19:00:00.000Z,49
20,2022-11-10T21:00:00.000Z,2022-11-10T20:00:00.000Z,33
21,2022-11-10T22:00:00.000Z,2022-11-10T21:00:00.000Z,6
22,2022-11-10T23:00:00.000Z,2022-11-10T22:00:00.000Z,41
23,2022-11-11T00:00:00.000Z,2022-11-10T23:00:00.000Z,114
24,2022-11-11T01:00:00.000Z,2022-11-11T00:00:00.000Z,18
25,2022-11-11T02:00:00.000Z,2022-11-11T01:00:00.000Z,99
26,2022-11-11T03:00:00.000Z,2022-11-11T02:00:00.000Z,28
27,2022-11-11T04:00:00.000Z,2022-11-11T03:00:00.000Z,7
28,2022-11-11T05:00:00.000Z,2022-11-11T04:00:00.000Z,105
29,2022-11-11T06:00:00.000Z,2022-11-11T05:00:00.000Z,22
30,2022-11-11T07:00:00.000Z,2022-11-11T06:00:00.000Z,34
